#          p        sig_p         v          bv       sig_bv
#
       11.05        0.94        8.41        0.54       0.014
       23.29        0.98        7.87       0.617       0.015
        51.1        0.52        6.99       0.755       0.017
       15.22        0.79        6.65       0.423       0.006
       13.01        0.64        7.88       0.569        0.01
       18.23        0.93        6.43       0.409       0.007
       12.04        0.95         8.2       0.445       0.015
       28.62        0.48        5.78       0.428       0.004
       95.37        0.98        9.49       1.472        0.01
       11.37        0.45        5.78      -0.001       0.004
       15.53        0.83        9.29       0.774       0.026
       50.76        0.78        8.61       1.143       0.004
       42.56        0.49        6.53       0.614       0.001
       28.93        0.84        7.33       0.621       0.002
       11.12        0.76        7.69       0.578       0.001
       17.41        0.82        7.08        0.43       0.004
       19.35        0.87         7.7       0.554       0.004
       12.48        0.67        8.38       0.521       0.009
       11.22        0.76        8.58        0.69       0.016
       77.95        0.53        7.17       0.935       0.003
        11.1        0.81         8.9       0.562       0.017
       10.13        0.92        8.55       0.475       0.015
       32.34        0.76        5.95       0.505       0.004
       12.07        0.56        6.22       0.194       0.005
       14.27        0.75        8.47       0.584       0.002
       20.98        0.98        7.95       0.614       0.007
       25.12        0.72        6.18       0.592       0.011
       10.24        0.95        7.32       0.496       0.015
       17.25         0.8        9.14       0.724       0.024
       10.25        0.63        8.03       0.451       0.006
        15.9        0.89        7.88       0.513       0.007
       14.03        0.51        6.96       0.404       0.008
       14.01        0.68        8.35        0.51       0.015
       27.04        0.87         7.6         0.6       0.009
       17.41        0.68        8.78       0.591       0.016
       12.08        0.91        7.88       0.645       0.009
       16.71        0.63        6.91       0.368       0.016
       22.24        0.63         7.5       0.544       0.012
       15.85        0.66        7.91       0.601       0.003
       10.98        0.85        7.89       0.493       0.004
       14.58        0.91        8.95       0.529       0.002
       14.04        0.73        7.97       0.475       0.009
       16.27        0.87         8.9       0.783        0.02
       33.14        0.95         8.2       0.739       0.005
       36.53        0.74        8.45       0.844       0.003
       39.03        0.93        9.71       1.211       0.007
       18.44        0.83        7.53       0.642       0.011
       28.29        0.77         8.6       0.821       0.003
       39.26        0.56        5.89       0.564       0.016
       11.09        0.91         7.4       0.455       0.001
       16.32        0.86        8.76       0.727       0.019
        23.6        0.91        9.36       1.003       0.002
       29.97        0.64        7.49       0.675       0.001
        84.5        0.79        6.66       1.017       0.032
        20.9        0.92        7.18        0.47           0
       10.01        0.71        8.69       0.539       0.016
        16.1        0.66        7.76        0.46        0.04
        27.5         0.5        6.44       0.593       0.015
       19.52        0.83        9.25       0.831       0.002
        11.3        0.66        8.07       0.456       0.003
       12.84        0.46        6.47       0.397       0.005
       10.16        0.83        7.32       0.313       0.008
        38.2        0.47        5.17       0.417       0.005
       15.86        0.89        7.06       0.526       0.007
       10.15        0.74        7.96       0.515       0.005
       13.83        0.88        7.92       0.486        0.01
        32.3        0.98        6.53       0.677       0.007
       18.65        0.46        6.01       0.297       0.005
       19.14        0.86        7.04       0.538       0.001
          17        0.82        8.34       0.619       0.002
        11.2        0.85         7.4       0.345       0.008
       33.75        0.75        4.07       0.088       0.007
       12.26        0.57         7.6       0.407       0.007
